IP_address,Time_arrival,No_of_Attempts,Success,Type
105.111.110.72,2.108713949171589,11,1,Anonymous
219.130.75.41,5.19637366222072,6,1,Anonymous
74.183.155.173,4.908939040312096,14,1,Anonymous
137.57.207.138,2.858436486519258,6,1,Anonymous
64.200.81.106,2.1526682640929504,8,1,Anonymous
39.128.219.101,5.2856919367979796,6,1,Anonymous
101.192.79.194,7.123796260657633,5,0,Anonymous
111.24.68.222,0.0243898787567014,13,1,Dictionary
19.135.178.115,7.34600360300938,6,0,Anonymous
79.30.85.68,3.667952002668404,10,0,Anonymous
90.61.25.45,1.2341483975894372,13,0,Dictionary
170.139.218.61,5.378545076301967,9,1,Anonymous
178.116.43.110,1.718261042397243,14,1,Dictionary
93.132.74.140,2.8873789490228186,13,0,Anonymous
54.127.32.208,2.5311879783415874,4,1,Legit
94.56.46.120,3.3468017636242733,6,1,Anonymous
82.89.89.17,5.427813443208933,8,0,Anonymous
143.213.209.183,0.030515417808764767,11,0,Dictionary
33.162.20.146,1.5887620655071713,14,1,Dictionary
50.112.101.49,5.947313696449268,7,1,Anonymous
118.11.124.165,5.982261662292744,6,1,Anonymous
160.47.219.213,5.135164760759166,7,1,Anonymous
62.83.182.83,4.137013941344145,7,1,Anonymous
22.43.67.131,5.646900036974754,7,0,Anonymous
150.135.38.189,6.215834384469381,5,0,Anonymous
115.109.189.71,0.8497500649923797,11,0,Dictionary
180.102.108.190,0.4992199937680608,3,0,Dictionary
114.58.17.165,0.4919810593908256,11,0,Dictionary
139.31.165.126,0.1386159725033993,14,1,Dictionary
106.12.120.109,6.4754683941164055,7,1,Anonymous
40.187.215.60,2.50055143619469,7,0,Anonymous
63.186.69.77,1.147897937871968,11,0,Dictionary
116.37.74.206,6.531806655932123,13,1,Anonymous
221.212.105.135,3.3722970158406422,8,0,Anonymous
36.158.32.51,6.165373115593278,9,0,Anonymous
82.201.31.30,0.9030814052420997,5,0,Dictionary
31.123.108.163,4.655616170886278,3,1,Legit
20.36.200.43,7.588855468903721,3,1,Legit
101.18.23.114,6.696269430825559,5,1,Anonymous
25.152.166.78,4.009155208601442,7,1,Anonymous
108.49.27.31,3.4581015975868796,11,1,Anonymous
115.92.115.93,1.410856674156138,10,0,Dictionary
210.30.204.171,3.3566684912760234,11,0,Anonymous
29.197.116.36,3.188508639100373,12,0,Anonymous
114.122.19.187,2.5455142879553723,9,0,Anonymous
72.79.218.19,6.084633539688538,12,0,Anonymous
68.160.123.40,3.225834498541654,9,1,Anonymous
166.95.53.164,6.074233492815327,13,1,Anonymous
77.132.107.93,1.280954305354424,10,0,Dictionary
30.122.76.198,1.912504380100132,12,1,Dictionary
180.193.88.46,6.776443221094303,11,1,Anonymous
161.125.76.12,7.018414308408782,14,0,Anonymous
78.204.24.181,2.807175880656687,6,0,Anonymous
48.153.192.19,0.7973829538387802,11,1,Dictionary
54.78.95.213,6.025845865731661,6,0,Anonymous
214.87.91.135,6.177189051885974,2,1,Legit
181.157.176.113,7.724113705800288,10,0,Anonymous
165.41.86.185,0.7903980230581942,8,1,Dictionary
12.39.24.154,7.09948162474694,4,1,Legit
75.112.18.200,6.449007196043267,5,0,Anonymous
115.147.220.27,7.75397581633505,6,0,Anonymous
23.38.28.28,2.6690827512470268,10,0,Anonymous
89.125.186.20,7.114266494354392,7,1,Anonymous
84.77.148.117,2.765835712367421,10,0,Anonymous
184.49.19.172,3.258720551462255,9,0,Anonymous
85.201.29.47,6.107677371392965,2,1,Legit
187.11.80.50,0.7915349802125817,14,1,Dictionary
115.31.139.216,4.5418308235431795,11,1,Anonymous
137.96.76.164,0.46841545524572137,9,0,Dictionary
14.194.104.194,5.584047789611423,6,1,Anonymous
55.157.70.193,4.991377219046538,3,1,Legit
107.148.139.101,3.4853525426405545,10,1,Anonymous
213.44.193.91,1.0417980506406375,13,1,Dictionary
54.75.76.63,5.738732945794804,10,1,Anonymous
159.16.131.110,7.504324166094676,6,0,Anonymous
152.189.97.32,2.1461580569208314,7,0,Anonymous
110.172.127.109,1.1993185355600664,8,0,Dictionary
121.135.139.72,2.3849485299722906,1,1,Legit
111.97.102.124,6.306025155286959,11,1,Anonymous
174.97.114.115,2.6176427034880785,10,1,Anonymous
93.16.213.77,3.572487452254699,2,1,Legit
79.111.14.57,4.317408686765989,12,1,Anonymous
197.145.185.123,1.212947971380557,13,1,Dictionary
88.95.81.191,5.830721539574098,4,1,Legit
99.101.17.184,2.598554493980404,9,0,Anonymous
71.114.85.194,4.844646861523683,4,1,Legit
28.144.38.58,5.283026522446343,11,1,Anonymous
14.141.29.11,7.692865191070136,7,0,Anonymous
84.89.146.75,1.0279774768610483,7,1,Dictionary
29.55.34.93,1.9241309391662869,9,0,Dictionary
222.127.93.12,5.321123460232353,5,1,Anonymous
204.38.179.173,5.890651589933298,5,0,Anonymous
55.211.61.63,1.0870252322551401,12,1,Dictionary
75.95.124.58,2.115449044611709,6,1,Anonymous
201.138.29.166,6.385139277862642,10,1,Anonymous
16.20.129.156,4.298980440367847,7,0,Anonymous
167.84.16.150,7.668396095905369,2,1,Legit
132.89.194.143,0.36825839506791436,13,0,Dictionary
52.183.68.47,1.95200824989415,5,0,Dictionary
121.191.27.96,7.701189284270057,4,1,Legit
215.168.16.128,1.7084992550171059,4,1,Legit
47.92.61.88,2.6796586381482213,5,0,Anonymous
216.61.174.53,2.630484785517651,12,1,Anonymous
186.203.37.187,7.647898160410064,11,1,Anonymous
109.20.124.100,6.796614187359892,3,1,Legit
221.156.197.26,1.4248151527975033,11,0,Dictionary
154.22.135.160,3.7249519674170344,4,1,Legit
71.162.86.175,1.2654271481429813,13,0,Dictionary
48.121.192.163,6.749758741838852,8,0,Anonymous
198.161.111.200,5.5695036260177675,7,0,Anonymous
164.28.209.47,2.675641019123426,11,0,Anonymous
71.107.123.92,7.117195871530564,8,0,Anonymous
100.12.121.159,7.146974841057845,12,1,Anonymous
108.62.195.146,4.228909297467746,14,0,Anonymous
181.112.117.107,4.462738622689426,9,1,Anonymous
27.116.20.87,1.1013713505801173,11,0,Dictionary
99.56.209.51,1.8071262886256356,12,1,Dictionary
185.49.168.205,3.3812869353207606,1,1,Legit
113.102.83.167,4.72613648123239,9,1,Anonymous
50.213.72.15,6.639172199070161,8,1,Anonymous
147.180.209.221,3.2032582050637934,10,1,Anonymous
204.58.163.175,0.35523568506949577,6,0,Dictionary
10.19.49.134,2.4533006045228962,1,1,Legit
74.51.220.86,7.6563400536215775,10,1,Anonymous
160.135.140.84,2.1115175371301884,9,1,Anonymous
204.79.185.163,4.36723796975767,8,1,Anonymous
45.172.183.40,2.2295604508124693,7,1,Anonymous
71.20.96.103,5.902111864735155,10,1,Anonymous
134.168.179.160,3.53252294178313,2,1,Legit
143.36.128.141,7.285649882424908,9,1,Anonymous
19.109.121.77,7.880830400148912,11,0,Anonymous
218.209.206.85,7.196482662061721,13,0,Anonymous
165.142.31.210,5.399729111677317,12,1,Anonymous
114.33.16.166,4.1858595154439096,11,1,Anonymous
183.203.134.184,0.7620549185438472,3,0,Dictionary
57.62.95.143,0.6203194367005409,12,0,Dictionary
46.57.77.139,2.7918058690611893,8,0,Anonymous
196.20.176.56,7.190321866968567,5,0,Anonymous
12.200.165.24,4.599827124611544,9,0,Anonymous
52.74.128.12,1.176336877292762,9,0,Dictionary
216.12.184.70,2.1528281745583007,5,0,Anonymous
57.218.28.86,6.168223757831614,9,0,Anonymous
140.209.14.177,7.085975802725518,12,0,Anonymous
59.127.97.94,0.7663259652163221,10,0,Dictionary
45.175.117.48,0.9496999530289543,6,1,Dictionary
192.218.203.218,6.306559779947049,12,0,Anonymous
208.107.53.176,7.913876874672754,13,0,Anonymous
39.118.214.214,2.560589918352991,8,0,Anonymous
132.44.59.127,1.891442892785598,13,0,Dictionary
166.51.151.113,5.839932064728614,14,1,Anonymous
90.136.61.39,2.679763828634118,10,1,Anonymous
93.98.195.172,5.675915544589289,11,0,Anonymous
96.211.63.220,4.088979142345837,9,0,Anonymous
62.121.141.200,3.0659319564343512,14,0,Anonymous
36.195.76.114,5.135092141430598,1,1,Legit
142.135.35.182,1.7903624485525809,13,1,Dictionary
138.59.201.177,2.536959302790212,11,1,Anonymous
107.96.78.214,1.8205764584321198,13,1,Dictionary
125.94.88.209,1.3900379361471362,4,0,Dictionary
168.23.127.123,4.638508812482296,8,0,Anonymous
82.104.203.28,1.8323202146418884,12,0,Dictionary
45.145.124.165,7.959797115735671,12,1,Anonymous
177.204.72.167,2.9714266543357963,1,1,Legit
12.65.110.80,1.593662961189974,4,1,Legit
34.57.118.141,0.4801897762157603,10,0,Dictionary
167.187.79.201,4.215066500931304,7,0,Anonymous
10.110.109.115,2.8129146430436673,2,1,Legit
39.183.53.91,6.068726707708737,8,1,Anonymous
93.168.57.100,1.8192616402899366,13,1,Dictionary
166.13.222.69,4.420507439644222,8,0,Anonymous
82.156.145.172,1.3432115112968424,12,0,Dictionary
60.27.16.121,3.9078968721108547,14,1,Anonymous
160.114.84.158,1.8756524567603101,3,1,Legit
37.86.93.65,6.714051451539825,12,1,Anonymous
128.85.69.11,7.753369781364034,14,1,Anonymous
207.199.178.14,5.462480236442,9,1,Anonymous
37.215.185.10,5.128615357308559,1,1,Legit
154.41.56.210,4.687408076982279,13,1,Anonymous
139.119.117.135,3.5550756194804523,11,1,Anonymous
158.100.217.209,3.0198696973552543,3,1,Legit
121.110.23.129,0.09886245248147851,9,0,Dictionary
137.101.155.169,7.725344010679867,10,0,Anonymous
96.222.172.112,0.3269497788794098,10,1,Dictionary
27.125.202.61,3.4217923016832783,9,1,Anonymous
83.154.92.46,4.6264296519170385,13,1,Anonymous
111.199.38.56,5.625394611162158,9,1,Anonymous
38.46.20.187,2.9530112937173474,13,0,Anonymous
93.82.73.46,6.592431616628117,13,1,Anonymous
123.161.34.212,5.460541173366401,8,0,Anonymous
122.166.147.138,6.816246365851457,10,0,Anonymous
145.18.216.212,7.258921362112987,14,0,Anonymous
213.175.92.86,2.053255903718865,11,1,Anonymous
187.211.54.166,7.764403411736236,6,1,Anonymous
36.57.121.39,0.17014656863484756,14,1,Dictionary
191.164.128.94,6.65049849865974,9,1,Anonymous
90.144.113.212,5.4631396402216525,9,0,Anonymous
114.115.145.222,7.378392103135655,7,1,Anonymous
201.43.74.218,6.987963069043487,2,1,Legit
37.94.98.185,2.54216411820262,12,1,Anonymous
68.186.200.212,2.058088171568296,10,1,Anonymous
208.45.20.71,2.7408191136988265,1,1,Legit
201.60.115.214,0.8889925542061885,6,1,Dictionary
80.131.219.27,7.4935682112037965,9,1,Anonymous
161.193.123.221,5.640214336054613,2,1,Legit
21.143.149.177,1.9294142554613396,7,1,Dictionary
73.139.102.178,6.3093939712381175,14,0,Anonymous
22.123.44.46,5.245482561669717,1,1,Legit
171.218.31.117,6.9856148981049655,9,1,Anonymous
57.182.72.183,3.1620215580049162,5,1,Anonymous
15.61.103.26,0.12896883428107753,12,0,Dictionary
50.68.178.109,7.769677254271964,12,0,Anonymous
166.173.107.27,1.0342113323662359,6,0,Dictionary
141.97.136.214,1.8779210836590616,10,1,Dictionary
130.42.70.37,4.182868383276845,1,1,Legit
33.58.150.44,2.5342414201154417,11,0,Anonymous
91.68.57.194,5.211761258297112,4,1,Legit
57.185.55.32,0.208839352303678,11,0,Dictionary
70.27.174.220,0.33280477261402197,6,0,Dictionary
124.99.70.68,3.6624188589431306,14,0,Anonymous
128.201.74.96,4.70306255112889,12,1,Anonymous
59.76.121.151,1.4822397574256216,6,0,Dictionary
184.94.79.93,0.0106347201252035,11,0,Dictionary
118.101.18.14,1.7567823745151188,10,1,Dictionary
39.121.200.122,4.802538300114915,14,1,Anonymous
180.30.117.82,4.532444733843432,9,1,Anonymous
179.47.182.129,6.418379802224364,10,0,Anonymous
207.159.27.131,0.436478974716751,12,0,Dictionary
135.63.190.197,6.848406005242954,10,1,Anonymous
81.78.138.116,4.4050743855432115,3,1,Legit
35.177.84.24,1.8108649536840362,12,1,Dictionary
123.173.100.10,1.5296110433111787,9,1,Dictionary
117.45.92.172,3.305369549082531,12,1,Anonymous
178.164.133.23,3.367994937526709,7,1,Anonymous
185.155.96.110,6.909228218650461,13,1,Anonymous
178.125.193.48,1.575222064776698,8,1,Dictionary
38.16.166.215,2.623835864839495,12,0,Anonymous
101.81.21.203,7.251467489527422,9,1,Anonymous
11.111.117.76,5.461188398873692,8,1,Anonymous
24.16.108.132,4.170292987929953,2,1,Legit
139.100.44.164,7.291482320146826,13,0,Anonymous
54.199.136.43,5.773162882882983,7,1,Anonymous
163.173.88.178,0.36974398464589164,6,1,Dictionary
179.172.14.200,2.0180472527390867,7,0,Anonymous
103.131.140.76,0.8698461609807007,7,0,Dictionary
217.164.12.39,0.9312226813571032,9,1,Dictionary
40.57.107.131,7.444216490652869,7,1,Anonymous
65.221.118.167,7.45634404522049,7,0,Anonymous
187.80.83.51,5.3296842888248035,5,0,Anonymous
141.103.150.75,4.7420984752549575,9,0,Anonymous
207.222.206.70,3.7350544947414575,2,1,Legit
97.52.206.213,4.02752884839852,2,1,Legit
107.34.27.150,2.096263214626828,7,1,Anonymous
179.74.129.73,6.1939508984727025,9,1,Anonymous
222.36.59.70,1.0951201730325328,3,0,Dictionary
84.62.125.90,1.2349858794291988,12,0,Dictionary
57.203.176.138,6.271260653931214,6,1,Anonymous
164.22.207.31,6.000418176299192,1,1,Legit
17.151.85.159,3.385925008051027,14,1,Anonymous
52.62.166.31,6.905225762223965,11,0,Anonymous
129.46.190.139,2.482742365308762,14,1,Anonymous
36.130.29.80,0.2552903097993715,10,1,Dictionary
14.64.175.114,5.462651518714065,2,1,Legit
130.105.205.53,3.645990341419047,1,1,Legit
46.157.98.153,6.147369529221724,14,1,Anonymous
50.47.15.20,4.997875805218396,11,1,Anonymous
113.159.56.149,5.186421747542453,8,1,Anonymous
163.183.26.79,7.541627427394854,14,1,Anonymous
135.34.194.117,2.4275841753447303,13,0,Anonymous
133.141.213.103,3.759883370193739,12,1,Anonymous
80.98.39.17,7.596017281989351,3,1,Legit
115.102.185.148,1.666618751264246,4,1,Legit
22.59.208.93,7.703877155743693,11,1,Anonymous
129.37.161.123,2.0851265566950605,14,1,Anonymous
109.108.82.142,0.7623523023028005,8,0,Dictionary
137.59.171.17,0.9086390270423719,5,1,Dictionary
167.78.53.104,2.8331713195204973,5,0,Anonymous
195.203.133.185,4.136851118412583,10,1,Anonymous
176.165.201.205,2.1071784568513223,5,1,Anonymous
88.135.102.97,2.640750614651748,8,0,Anonymous
201.72.161.22,4.013065935334492,9,0,Anonymous
183.48.218.33,6.03441811300302,10,0,Anonymous
63.10.64.194,1.0456919739498476,6,0,Dictionary
176.218.25.17,3.635039643303265,13,1,Anonymous
183.196.43.178,7.470545684912641,10,1,Anonymous
51.135.88.118,4.975427982416605,10,1,Anonymous
201.188.171.150,1.9023297649005304,2,1,Legit
106.194.35.130,0.6375172596561551,9,1,Dictionary
20.38.152.139,7.509569708310121,14,0,Anonymous
210.53.137.99,7.78465443297657,8,1,Anonymous
34.52.100.219,7.883864520749683,10,0,Anonymous
102.151.132.135,0.2860859976360164,11,0,Dictionary
14.47.214.146,2.3154582060208497,11,1,Anonymous
106.84.32.138,0.16990994565138973,9,0,Dictionary
99.132.99.101,5.93022395512843,8,0,Anonymous
197.153.34.59,0.13556859616706252,7,0,Dictionary
160.222.86.99,1.018428026737439,5,1,Dictionary
97.127.218.81,3.2412657740195057,7,1,Anonymous
206.113.26.136,6.686699056759315,5,0,Anonymous
119.93.33.121,6.440518021388502,5,0,Anonymous
158.27.17.30,5.127427008803646,8,0,Anonymous
92.41.43.169,6.408137940058523,6,0,Anonymous
177.215.162.37,6.232198554893894,6,0,Anonymous
110.210.78.209,6.142002433885432,8,1,Anonymous
49.207.12.159,4.161550097515371,3,1,Legit
207.206.72.51,7.558389999381884,13,0,Anonymous
76.221.84.150,0.4958645222699243,8,0,Dictionary
16.158.23.33,4.326618259485608,14,0,Anonymous
148.47.143.76,2.100330542644989,12,1,Anonymous
43.40.181.85,5.503858248156895,2,1,Legit
214.68.70.175,5.563850775036331,13,0,Anonymous
192.66.220.198,0.9818108417124627,9,1,Dictionary
112.13.50.33,4.712278086951047,10,0,Anonymous
88.169.156.28,7.309248096890563,14,0,Anonymous
107.118.67.16,2.3593501616057946,4,1,Legit
52.126.92.89,4.711320717312767,2,1,Legit
